instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
University of Missouri-Kansas City,University of Missouri-Kansas City, ,5100 Rockhill Rd.,Kansas City,MO,64110,24116,23644,35673,13330,605,962,1717,0,49,94,7104,6378,3602,1197
University of Missouri-St Louis,University of Missouri-St Louis, ,One University Boulevard,Saint Louis,MO,63121-4400,24894,25854,42102,16404,126,819,1945,0,52,95,12235,2481,1800,485
University of Mobile,University of Mobile, ,5735 College Parkway Drive,Mobile,AL,36613-2842,39380,38830,38830,29830,0,28,283,14,50,96,16186,1758,827,253
University of Montevallo,University of Montevallo, ,Station 6001,Montevallo,AL,35115-6000,26290,26290,39310,17160,0,142,509,0,49,97,11749,3882,1882,490
University of Mount Olive,University of Mount Olive, ,634 Henderson St,Mount Olive,NC,28365-0919,32500,29750,29750,23750,0,83,665,196,47,100,13496,2215,1173,336
University of Mount Union,University of Mount Union, ,1972 Clark Ave.,Alliance,OH,44601-3993,43795,37580,37580,34430,0,67,471,0,64,100,19179,2396,2310,625
University of Nebraska at Kearney,University of Nebraska at Kearney,UNK|University of Nebraska - Kearney|Nebraska - Kearney|Nebraska Kearney|,2504 9th Avenue,Kearney,NE,68849-1212,23040,23040,29270,12832,0,414,881,0,58,93,6589,5559,5205,944
University of Nebraska at Omaha,University of Nebraska at Omaha,UNOMAHA,6001 Dodge St,Omaha,NE,68182-0225,22300,22192,35166,12610,41,879,2221,0,48,87,6832,8170,6673,2151
University of Nebraska-Lincoln,University of Nebraska-Lincoln, ,14th and R St,Lincoln,NE,68588,24936,24934,40730,13506,398,941,4032,0,69,88,8718,14956,11906,4816
University of Nevada-Las Vegas,University of Nevada-Las Vegas,UNLV,4505 S Maryland Pky,Las Vegas,NV,89154,24035,25113,40260,15309,333,1042,4101,0,43,94,5531,11612,9527,4144
University of Nevada-Reno,University of Nevada-Reno, ,North Virginia Street,Reno,NV,89557,25039,25039,39676,13669,203,761,3665,0,58,89,6548,9531,8402,3691
University of New England,University of New England, ,11 Hills Beach Rd,Biddeford,ME,04005-9599,56560,52370,52370,42670,443,770,477,0,63,100,19199,4985,3979,635
University of New Hampshire at Manchester,University of New Hampshire at Manchester,UNH Manchester,88 Commercial Street,Manchester,NH,03101-1113,30136,34510,49880,21110,0,0,199,6,41,95,7966,222,150,96
University of New Hampshire-Main Campus,University of New Hampshire-Main Campus, ,105 Main St.  Thompson Hall,Durham,NH,03824-3547,33750,33750,49130,23400,81,715,3024,76,77,88,12436,20096,15430,3031
University of New Haven,University of New Haven,UNH,300 Boston Post Road,West Haven,CT,06516-1916,58306,54316,54316,45878,4,832,1067,39,65,100,21479,10426,8744,1338
University of New Mexico-Main Campus,University of New Mexico-Main Campus,UNM,1700 Lomas Blvd NE,Albuquerque,NM,87106,22639,23989,38942,12775,519,1162,4004,0,50,96,6440,10582,7366,2653
University of New Orleans,University of New Orleans,UNO,2000 Lakeshore Drive,New Orleans,LA,70148,25223,25381,30217,15351,48,393,1108,0,37,93,9177,4715,2700,1019
University of North Alabama,University of North Alabama,UNA,One Harrison Plaza,Florence,AL,35632-0001,22112,22112,30422,14442,0,367,1030,0,46,94,6542,4450,2863,1005
University of North Carolina at Asheville,University of North Carolina at Asheville, ,One University Heights,Asheville,NC,28804-8510,20189,21289,38012,11909,0,9,794,0,63,76,8238,3219,3014,788
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill, ,103 South Bldg Cb 9100,Chapel Hill,NC,27599,23811,23811,49994,12621,1208,2153,4628,0,89,67,17135,41939,9525,4327
University of North Carolina at Charlotte,University of North Carolina at Charlotte,UNC Charlotte,9201 University City Blvd,Charlotte,NC,28223-0001,23694,22023,35457,11607,149,1543,5113,0,59,74,7737,17209,11501,3708
University of North Carolina at Greensboro,University of North Carolina at Greensboro,UNCG,1400 Spring Garden St,Greensboro,NC,27402-6170,21297,20241,35400,12741,164,812,3244,0,53,87,9561,8179,6857,2989
University of North Carolina at Pembroke,University of North Carolina at Pembroke,UNCP,One University Drive,Pembroke,NC,28372-1510,17088,16427,20427,8219,0,190,950,0,41,93,6927,4316,3506,1233
University of North Carolina School of the Arts,University of North Carolina School of the Arts,UNCSA,1533 South Main St.,Winston-Salem,NC,27127-2738,22112,22112,38255,13091,0,58,213,0,73,80,8040,1185,453,243
University of North Carolina Wilmington,University of North Carolina Wilmington,UNCW|University of North Carolina at Wilmington|UNC Wilmington|UNC W|University of NC at Wilmington|Univ of NC-Wilmington|UNC-W|University of North Carolina Wilmington|,601 South College Road,Wilmington,NC,28403-5963,24982,24982,39047,14296,25,625,3652,0,73,76,6079,13117,8034,2161
University of North Dakota,University of North Dakota, ,264 Centennial Drive  Stop 8193,Grand Forks,ND,58202-8193,22091,22091,34155,13117,288,780,2075,0,55,90,4523,5021,4128,1835
University of North Florida,University of North Florida,UNF,1 UNF Drive,Jacksonville,FL,32224-7699,21384,22587,36991,11649,117,570,3212,210,59,82,8631,14330,8753,2474
University of North Georgia,University of North Georgia,UNG,82 College Circle,Dahlonega,GA,30597,20492,18702,27524,10302,28,159,1881,1083,34,86,5514,11145,9021,4464
University of North Texas,University of North Texas,UNT|North Texas|Mean Grean,1501 W.Chestnut Ave.,Denton,TX,76203-1277,24712,24868,34828,16066,253,1892,7072,0,53,81,12010,20006,14215,4879
University of North Texas at Dallas,University of North Texas at Dallas,UNTD,7300 University Hills Drive,Dallas,TX,75241,23374,23165,35615,15056,155,112,574,0,30,92,11286,1670,1388,365
University of Northern Colorado,University of Northern Colorado, ,Carter Hall - Rm 4000,Greeley,CO,80639,25494,25836,37704,14138,113,874,1929,0,47,93,8554,8294,7527,1960
University of Northern Iowa,University of Northern Iowa,UNI |Panthers |Northern Iowa,1227 W 27th St,Cedar Falls,IA,50614-0005,20934,20934,31476,11986,23,515,2184,0,65,81,4718,5217,4212,1661
University of Northwestern-St Paul,University of Northwestern-St Paul,University of Northwestern (MN) | Northwestern,3003 Snelling Ave N,Saint Paul,MN,55113-1598,44340,39632,39632,36140,0,93,464,31,63,100,18708,1097,1016,415
University of Notre Dame,University of Notre Dame,Notre Dame | Fighting Irish | ND,400 Main Building,Notre Dame,IN,46556,71801,71801,71801,56391,487,1000,2149,0,97,66,39153,20371,3608,2070
University of Oklahoma-Norman Campus,University of Oklahoma-Norman Campus,University of Oklahoma|Oklahoma University|OU|Oklahoma,660 Parrington Oval,Norman,OK,73019-3072,29097,29097,44478,18103,399,1945,4233,0,67,95,10131,15811,12283,4385
University of Oregon,University of Oregon,UO,110 Johnson Hall,Eugene,OR,97403,27366,25476,49056,15444,298,1092,4489,0,73,77,7142,24474,20404,4168
University of Pennsylvania,University of Pennsylvania,Penn  U of PA  U-Penn  U of P  Pennsylvania  UPenn  Pennsylvania University  University of Pennsylvania  Wharton  Wharton School of Business,34th & Spruce Street,Philadelphia,PA,19104-6303,74408,74408,74408,58792,1214,3814,2622,0,95,58,46318,44491,3740,2518
University of Pittsburgh Medical Center-Shadyside School of Nursing,University of Pittsburgh Medical Center-Shadyside School of Nursing, ,5230 Centre Ave,Pittsburgh,PA,15232,,32024,32024,24424,,,,0,67,100,5640,43,21,21
University of Pittsburgh-Bradford,University of Pittsburgh-Bradford,Pitt-Bradford,300 Campus Drive,Bradford,PA,16701,28100,28990,40234,18768,0,0,252,41,42,98,9681,3061,1504,355
University of Pittsburgh-Greensburg,University of Pittsburgh-Greensburg, ,150 Finoli Drive,Greensburg,PA,15601-5860,29278,28980,40224,18758,0,0,227,0,35,94,8900,2324,1488,399
University of Pittsburgh-Johnstown,University of Pittsburgh-Johnstown, ,450 Schoolhouse Road,Johnstown,PA,15904,28694,28966,40210,18744,0,0,480,21,48,95,7309,3156,2055,663
University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus, ,4200 Fifth Avenue,Pittsburgh,PA,15260,33503,34035,47007,22453,1040,2086,4530,33,83,78,11740,29857,17696,4125
University of Pittsburgh-Titusville,University of Pittsburgh-Titusville, ,504 East Main Street,Titusville,PA,16354,27552,26878,36622,16656,,,,73,28,97,8622,503,253,74
University of Portland,University of Portland, ,5000 N Willamette Blvd,Portland,OR,97203-5798,62200,58360,58360,49382,29,189,1005,0,82,99,25142,10666,8035,1004
University of Providence,University of Providence,The University  as of July 1  2017  has a new name - The University of Providence,1301 Twentieth St S,Great Falls,MT,59405-4996,39768,39768,39768,30168,0,23,258,2,46,100,17207,440,248,141
University of Puerto Rico-Aguadilla,University of Puerto Rico-Aguadilla,UPRAG  University of Puerto Rico at Aguadilla,Belt St. Ramey Base,Aguadilla,PR,00604-6150,,22506,24461,10073,0,0,391,28,46,90,4983,1088,809,709
University of Puerto Rico-Arecibo,University of Puerto Rico-Arecibo,UPRA,Finca las Dunas Carr 653 Ruta 129 Km 8,Arecibo,PR,00614-4010,,20674,22629,9513,0,0,518,82,46,87,5266,1868,933,806
University of Puerto Rico-Bayamon,University of Puerto Rico-Bayamon,UPRB,Road 174 #170 Minillas Industrial Park,Bayamon,PR,959,,19866,21821,9503,0,0,491,31,29,82,5808,1564,1093,978
University of Puerto Rico-Carolina,University of Puerto Rico-Carolina,UPRCA,Carretera 887 Bo San Anton,Carolina,PR,00984-4800,,22987,25919,12624,0,0,542,55,41,68,5565,2639,834,706
University of Puerto Rico-Cayey,University of Puerto Rico-Cayey,UPRC  UPR-Cayey  UPR at Cayey,205 Antonio R. Barcelo Ave.,Cayey,PR,00737-2230,,20824,22779,9508,0,0,579,0,48,81,5404,910,658,590
University of Puerto Rico-Humacao,University of Puerto Rico-Humacao, ,Call Box 860,Humacao,PR,792,,19876,21831,9513,0,0,482,62,51,84,5472,1698,711,648
University of Puerto Rico-Mayaguez,University of Puerto Rico-Mayaguez,UPRM|RUM|Colegio|Colegio de Mayagüez|UPR-Mayaguez|CAAM|Recinto de Mayagüez|,259 Boulevard Alfonso Valdez,Mayaguez,PR,681,,19876,21831,9513,15,146,1537,0,47,76,5457,3524,2238,2114
University of Puerto Rico-Ponce,University of Puerto Rico-Ponce,UPR-Ponce,2151 Santiago de los Caballeros Avenue,Ponce,PR,00716-9996,,19871,21826,9508,0,0,444,41,47,90,5544,1971,695,576
University of Puerto Rico-Rio Piedras,University of Puerto Rico-Rio Piedras, ,39 Ponce de Leon  Ave,San Juan,PR,00931-0000,19876,20674,22629,9513,253,384,1817,0,57,75,5248,5951,2539,2169
University of Puerto Rico-Utuado,University of Puerto Rico-Utuado, ,Carr. # 10 Km. 52.2,Utuado,PR,641,,19876,21831,9513,0,0,35,94,18,90,5264,941,380,259
University of Puget Sound,University of Puget Sound, ,1500 N. Warner Street,Tacoma,WA,98416,65616,65616,65616,53076,40,81,579,0,75,100,23458,5730,5060,653
University of Redlands,University of Redlands, ,1200 E. Colton Ave,Redlands,CA,92373-0999,68922,68922,68922,55769,2,809,786,0,74,99,36147,4713,3523,727
University of Rhode Island,University of Rhode Island,URI,Green Hall  35 Campus Avenue,Kingston,RI,2881,30351,29210,45934,24103,269,575,3144,0,67,95,10838,22782,15829,3058
University of Richmond,University of Richmond,UR/U of Richmond/Richmond,410 Westhampton Way,University of Richmond,VA,23173,67020,67020,67020,54770,183,119,847,1,87,65,40155,11882,3585,832
University of Rochester,University of Rochester, ,Wilson Blvd. - Wallis Hall,Rochester,NY,14627-0011,72721,,,,365,1279,1601,0,86,88,34656,21255,6253,1522
University of Saint Francis-Fort Wayne,University of Saint Francis-Fort Wayne,University of Saint Francis of Fort Wayne  Indiana |University of Saint Francis |Saint Francis College |University of St. Francis-Fort Wayne  |University of St Francis-Fort Wayne |USF,2701 Spring St,Fort Wayne,IN,46808-3994,43970,42190,42190,34630,0,195,340,155,55,100,21396,1490,1392,347
University of Saint Joseph,University of Saint Joseph,USJ,1678 Asylum Avenue,West Hartford,CT,6117,51901,51843,51843,41295,80,577,191,0,63,100,22849,1414,1023,220
University of Saint Mary,University of Saint Mary,University of St. Mary   University of St Mary,4100 S 4th St,Leavenworth,KS,66048-5082,41870,40390,40390,33330,38,165,193,1,55,99,19176,996,611,134
University of San Diego,University of San Diego,USD,5998 Alcala Park,San Diego,CA,92110-2492,67498,69305,69305,55643,314,917,1387,0,80,85,28994,13287,7031,1310
University of San Francisco,University of San Francisco, ,2130 Fulton St,San Francisco,CA,94117-1080,68296,68296,68296,52966,252,1466,1669,0,75,85,30580,18411,11885,1542
University of Science and Arts of Oklahoma,University of Science and Arts of Oklahoma,USAO,17th Street and Grand Avenue,Chickasha,OK,73018-5322,18360,19740,30090,12330,0,0,146,0,46,99,9713,1563,829,215
University of Scranton,University of Scranton, ,800 Linden Street,Scranton,PA,18510-4699,62686,57904,57904,50404,52,555,901,1,82,99,23038,9968,7296,955
University of Sioux Falls,University of Sioux Falls, ,1101 W 22nd St,Sioux Falls,SD,57105-1699,30230,32220,32220,21960,0,149,279,1,46,100,18636,2000,1825,311
University of South Alabama,University of South Alabama, ,307 N University Blvd,Mobile,AL,36688-0002,21706,22598,30494,14086,344,1201,2072,0,44,95,7314,6555,5199,1910
University of South Carolina-Aiken,University of South Carolina-Aiken,University of South Carolina Aiken |USC Aiken |USCA |USCAiken| |University of South Carolina at Aiken,471 University Pkwy,Aiken,SC,29801,24818,25757,36215,17054,0,20,536,0,40,95,6748,3115,1587,549
University of South Carolina-Beaufort,University of South Carolina-Beaufort,University of South Carolina Beaufort |USC Beaufort |USCB,1 University Boulevard,Bluffton,SC,29909,25142,25518,36564,16085,0,0,321,1,32,93,6695,1958,1239,413
University of South Carolina-Columbia,University of South Carolina-Columbia, ,Columbia-Campus,Columbia,SC,29208,28303,28921,49601,17915,850,1878,5833,2,77,91,6642,30889,19480,5854
University of South Carolina-Lancaster,University of South Carolina-Lancaster, ,476 Hubbard Drive,Lancaster,SC,29720-0889,,22913,33593,13471,,,,137,22,96,7029,756,505,325
University of South Carolina-Salkehatchie,University of South Carolina-Salkehatchie, ,465 James Brandt Blvd,Allendale,SC,29810-0617,,22913,33593,13471,,,,147,27,98,6941,1390,1002,271
University of South Carolina-Sumter,University of South Carolina-Sumter, ,200 Miller Rd,Sumter,SC,29150-2498,,22913,33593,13471,,,,131,29,96,6716,860,538,255
University of South Carolina-Union,University of South Carolina-Union, ,309 East Academy St,Union,SC,29379-0729,,22913,33593,13471,,,,50,20,99,7150,463,305,177
University of South Carolina-Upstate,University of South Carolina-Upstate, ,800 University Way,Spartanburg,SC,29303-4999,25442,28805,40473,17172,0,19,1266,0,46,97,7805,4833,2764,1011
University of South Dakota,University of South Dakota,USD,414 E Clark St,Vermillion,SD,57069-2390,22856,24385,27749,14640,264,559,1210,31,58,95,4852,4119,3534,1444
University of South Florida-Main Campus,University of South Florida-Main Campus,USF Main Campus |USF Tampa Campus |USF Tampa |USF,4202 East Fowler Ave,Tampa,FL,33620-9951,23320,21530,32444,11710,702,3113,8079,317,73,91,9838,35043,14940,4435
University of South Florida-Sarasota-Manatee,University of South Florida-Sarasota-Manatee,USF Sarasota-Manatee,8350 N Tamiami Trail,Sarasota,FL,34243-2049,,20707,31621,10887,0,69,486,8,,85,7916,771,250,113
University of South Florida-St Petersburg,University of South Florida-St Petersburg,University of South Florida St. Petersburg  USF St. Petersburg  USF SP  University of South Florida - St.Pete,140 Seventh Ave S.,St. Petersburg,FL,33701-9807,22731,20941,31856,11121,0,223,894,73,34,85,8662,4254,1644,550
University of Southern California,University of Southern California,USC,University Park,Los Angeles,CA,90089,74825,74825,74825,62495,1659,8503,5063,0,92,69,35953,64352,8339,3401
University of Southern Indiana,University of Southern Indiana,USI,8600 University Blvd,Evansville,IN,47712,21081,23053,34140,12583,10,279,1488,63,47,94,7377,4449,4208,1644
University of Southern Maine,University of Southern Maine, ,96 Falmouth St,Portland,ME,4103,22968,22968,35344,13118,85,386,1071,0,39,97,8696,4254,3634,947
University of Southern Mississippi,University of Southern Mississippi, ,118 College Drive # 0001,Hattiesburg,MS,39406-0001,24048,24040,26040,13930,151,719,2356,0,49,94,8467,8550,8369,2080
University of St Francis,University of St Francis, ,500 N Wilcox St,Joliet,IL,60435-6188,45664,44440,44440,37240,38,527,412,0,62,99,21000,1847,864,214
University of St Thomas,University of St Thomas,University of Saint Thomas |UST,2115 Summit Ave,Saint Paul,MN,55105-1078,56664,55188,55188,46252,155,1008,1377,0,77,98,23120,7163,5758,1759
University of St Thomas,University of St Thomas, ,3800 Montrose Blvd,Houston,TX,77006-4696,47646,49526,49526,39436,3,562,355,0,57,96,23122,1216,1000,355
University of the Cumberlands,University of the Cumberlands,Cumberland College,6191 College Station Drive,Williamsburg,KY,40769,38400,36650,36650,33400,100,1990,375,11,33,100,18175,2348,1721,467
University of the Incarnate Word,University of the Incarnate Word,UIW|Incarnate Word|Incarnate|Incarnate Word  University of|Incarnate Word  Univ of|Univ. of the Incarnate Word,4301 Broadway,San Antonio,TX,78209,48628,48658,48658,36472,237,754,1398,137,49,100,18140,4894,4304,822
University of the Ozarks,University of the Ozarks,Ozarks,415 N College Ave,Clarksville,AR,72830,35030,35030,35030,27630,0,0,111,0,50,100,18152,1808,946,273
University of the Pacific,University of the Pacific,Pacific | UOP | University of Pacific | Pacific University | U. Pacific | Univ. of Pacific | U. of Pacific,3601 Pacific Ave,Stockton,CA,95211-0197,66971,68108,68108,54446,552,375,855,0,73,98,31457,13545,8598,954
University of the Sciences,University of the Sciences,USciences,600 South 43rd Street,Philadelphia,PA,19104-4495,45638,45638,45638,30450,314,121,326,0,77,100,25099,4212,2665,323
University of the Southwest,University of the Southwest,USW,6610 North Lovington Hwy,Hobbs,NM,88240,27626,32900,32900,20100,0,175,101,0,18,98,9681,268,120,84
University of the Virgin Islands,University of the Virgin Islands,UVI,2 John Brewers Bay,Charlotte Amalie,VI,00802-9990,19915,21681,30942,10307,0,60,220,31,23,86,6616,721,705,306
University of Toledo,University of Toledo, ,2801 W Bancroft,Toledo,OH,43606-3390,28423,26453,35813,18135,507,1018,2762,89,47,95,8394,10792,10107,3270
University of Tulsa,University of Tulsa,Tulsa University,800 South Tucker Drive,Tulsa,OK,74104-3189,59725,59641,59641,48609,116,268,818,0,74,98,32367,8526,3476,806
University of Utah,University of Utah,The U,201 Presidents Circle  ROOM 201,Salt Lake City,UT,84112-9008,24472,25190,45183,14210,755,2113,4916,0,70,85,7816,23096,15441,4256
University of Valley Forge,University of Valley Forge,VFCC; UVF,1401 Charlestown Road,Phoenixville,PA,19460-2373,35787,35787,35787,25901,0,28,126,5,53,98,14071,375,221,104
University of Vermont,University of Vermont,University of Vermont and State Agricultural College |UVM |UVT |Vermont,85 S Prospect St,Burlington,VT,05405-0160,34210,34210,58450,23314,228,387,2366,0,76,97,17149,21263,14365,2531
University of Virginia-Main Campus,University of Virginia-Main Campus,University of Virginia |UVa |UVA,1827 University Avenue,Charlottesville,VA,22903-2628,33493,33493,64872,21493,815,1973,4178,0,94,59,21865,37182,9828,3822
University of Washington-Bothell Campus,University of Washington-Bothell Campus,UWB  UW-B  UW-Bothell,18115 Campus Way NE,Bothell,WA,98011-8246,27704,27704,53085,15827,0,259,1705,0,62,62,13580,3022,2398,781
University of Washington-Seattle Campus,University of Washington-Seattle Campus,UW-Seattle  UDub  UW  Washington,1400 NE Campus Parkway,Seattle,WA,98195-4550,27638,27638,53019,14840,1371,3906,7701,0,84,61,12756,45907,22350,7161
University of Washington-Tacoma Campus,University of Washington-Tacoma Campus,UWT  UW-T  UW-Tacoma,1900 Commerce St,Tacoma,WA,98402-3100,26978,26978,52359,15950,1,323,1409,0,58,83,12254,2036,1742,653
University of West Alabama,University of West Alabama, ,Station One,Livingston,AL,35470,21841,21883,30333,14761,0,685,308,46,31,96,7110,8870,3518,415
University of West Georgia,University of West Georgia, ,1601 Maple St,Carrollton,GA,30118-0001,24396,21588,32374,14688,36,589,1725,0,42,94,7059,8154,4745,2289
University of Wisconsin Colleges Flex,University of Wisconsin Colleges Flex, ,780 Regent St,Madison,WI,53708,,,,,,,,5,,,,9,4,2
University of Wisconsin-Eau Claire,University of Wisconsin-Eau Claire, ,105 Garfield Ave,Eau Claire,WI,54701,20349,20349,28624,11800,27,150,1961,22,67,80,3716,6734,5250,2486
